"Complex"	"Index"	"Subunit"	"Cor"
"CPX-1201"	"10"	"SMARCC1"	"0.00422231811991014"
"CPX-1201"	"9"	"PHF10"	"0.012504987830586"
"CPX-1201"	"2"	"ACTL6A"	"0.0390100125517124"
"CPX-1201"	"1"	"ARID1A"	"0.0408558359284076"
"CPX-1201"	"5"	"PS1TP5BP1"	"0.111131615662385"
"CPX-1201"	"4"	"ACTB"	"0.111131615662385"
"CPX-1201"	"12"	"SMARCD1"	"0.142270288787317"
"CPX-1201"	"8"	"SMARCC2"	"0.751592915797692"
"CPX-1201"	"11"	"SMARCE1"	"0.972444057779466"
"CPX-1201"	"7"	"SMARCD3"	"1.74535162763496"
"CPX-1202"	"3"	"SMARCA2"	"0"
"CPX-1202"	"6"	"SMARCB1"	"0"
"CPX-1202"	"9"	"DPF1"	"0"
"CPX-1202"	"14"	"CPX-1202"	"0"
"CPX-1202"	"11"	"SMARCC1"	"0.00484135436371491"
"CPX-1202"	"1"	"ARID1A"	"0.0478647589604316"
"CPX-1202"	"5"	"PS1TP5BP1"	"0.119267102415886"
"CPX-1202"	"4"	"ACTB"	"0.119267102415886"
"CPX-1202"	"13"	"SMARCD1"	"0.15655033963459"
"CPX-1202"	"10"	"DPF3"	"0.328712746965755"
"CPX-1202"	"8"	"SMARCC2"	"0.730097595830447"
"CPX-1202"	"12"	"SMARCE1"	"0.998968336866507"
"CPX-1202"	"7"	"SMARCD3"	"1.74664586684709"
"CPX-1203"	"2"	"ACTL6B"	"0"
"CPX-1203"	"3"	"SMARCA2"	"0"
"CPX-1203"	"10"	"CPX-1203"	"0"
"CPX-1203"	"1"	"ARID1A"	"0.0378959631886207"
"CPX-1203"	"4"	"PS1TP5BP1"	"0.0690341205571411"
"CPX-1203"	"5"	"ACTB"	"0.0690341205571411"
"CPX-1203"	"8"	"SMARCD2"	"0.850793211862097"
"CPX-1203"	"7"	"SMARCC2"	"1.19872188843577"
"CPX-1203"	"9"	"SMARCE1"	"1.80575171014992"
"CPX-1204"	"3"	"SMARCA4"	"0"
"CPX-1204"	"13"	"CPX-1204"	"0"
"CPX-1204"	"9"	"SMARCC1"	"0.00432664261109672"
"CPX-1204"	"2"	"ACTL6A"	"0.0423258451223587"
"CPX-1204"	"1"	"ARID1A"	"0.0448996438639924"
"CPX-1204"	"4"	"ACTB"	"0.128278608148674"
"CPX-1204"	"5"	"PS1TP5BP1"	"0.128278608148674"
"CPX-1204"	"12"	"SMARCD1"	"0.137801414952326"
"CPX-1204"	"10"	"SMARCD2"	"0.664045214185138"
"CPX-1204"	"8"	"SMARCC2"	"0.830234279035386"
"CPX-1204"	"11"	"SMARCE1"	"0.911104052672878"
"CPX-1204"	"7"	"SMARCD3"	"1.74356980217736"
"CPX-1207"	"3"	"SMARCA2"	"0"
"CPX-1207"	"6"	"SMARCB1"	"0"
"CPX-1207"	"13"	"CPX-1207"	"0"
"CPX-1207"	"9"	"SMARCC1"	"0.00435360293945997"
"CPX-1207"	"1"	"ARID1A"	"0.0455610898146785"
"CPX-1207"	"4"	"ACTB"	"0.13279952789146"
"CPX-1207"	"5"	"PS1TP5BP1"	"0.13279952789146"
"CPX-1207"	"12"	"SMARCD1"	"0.138884374853687"
"CPX-1207"	"10"	"SMARCD2"	"0.672003253184353"
"CPX-1207"	"8"	"SMARCC2"	"0.831435318906885"
"CPX-1207"	"11"	"SMARCE1"	"0.918313976494143"
"CPX-1207"	"7"	"SMARCD3"	"1.7386470720943"
"CPX-1209"	"3"	"SMARCA4"	"0"
"CPX-1209"	"6"	"SMARCB1"	"0"
"CPX-1209"	"13"	"CPX-1209"	"0"
"CPX-1209"	"9"	"SMARCC1"	"0.00435360293945997"
"CPX-1209"	"1"	"ARID1A"	"0.0455610898146785"
"CPX-1209"	"4"	"ACTB"	"0.13279952789146"
"CPX-1209"	"5"	"PS1TP5BP1"	"0.13279952789146"
"CPX-1209"	"12"	"SMARCD1"	"0.138884374853687"
"CPX-1209"	"10"	"SMARCD2"	"0.672003253184353"
"CPX-1209"	"8"	"SMARCC2"	"0.831435318906885"
"CPX-1209"	"11"	"SMARCE1"	"0.918313976494143"
"CPX-1209"	"7"	"SMARCD3"	"1.7386470720943"
"CPX-1212"	"3"	"SMARCA4"	"0"
"CPX-1212"	"13"	"CPX-1212"	"0"
"CPX-1212"	"10"	"SMARCC1"	"0.00422231811991014"
"CPX-1212"	"9"	"PHF10"	"0.012504987830586"
"CPX-1212"	"2"	"ACTL6A"	"0.0390100125517124"
"CPX-1212"	"1"	"ARID1A"	"0.0408558359284076"
"CPX-1212"	"5"	"PS1TP5BP1"	"0.111131615662385"
"CPX-1212"	"4"	"ACTB"	"0.111131615662385"
"CPX-1212"	"12"	"SMARCD1"	"0.142270288787317"
"CPX-1212"	"8"	"SMARCC2"	"0.751592915797692"
"CPX-1212"	"11"	"SMARCE1"	"0.972444057779466"
"CPX-1212"	"7"	"SMARCD3"	"1.74535162763496"
"CPX-1216"	"3"	"SMARCA4"	"0"
"CPX-1216"	"6"	"SMARCB1"	"0"
"CPX-1216"	"9"	"DPF1"	"0"
"CPX-1216"	"14"	"CPX-1216"	"0"
"CPX-1216"	"11"	"SMARCC1"	"0.00484135436371491"
"CPX-1216"	"1"	"ARID1A"	"0.0478647589604316"
"CPX-1216"	"5"	"PS1TP5BP1"	"0.119267102415886"
"CPX-1216"	"4"	"ACTB"	"0.119267102415886"
"CPX-1216"	"13"	"SMARCD1"	"0.15655033963459"
"CPX-1216"	"10"	"DPF3"	"0.328712746965755"
"CPX-1216"	"8"	"SMARCC2"	"0.730097595830447"
"CPX-1216"	"12"	"SMARCE1"	"0.998968336866507"
"CPX-1216"	"7"	"SMARCD3"	"1.74664586684709"
"CPX-1219"	"2"	"ACTL6B"	"0"
"CPX-1219"	"3"	"SMARCA4"	"0"
"CPX-1219"	"10"	"CPX-1219"	"0"
"CPX-1219"	"1"	"ARID1A"	"0.0378959631886207"
"CPX-1219"	"4"	"PS1TP5BP1"	"0.0690341205571411"
"CPX-1219"	"5"	"ACTB"	"0.0690341205571411"
"CPX-1219"	"8"	"SMARCD2"	"0.850793211862097"
"CPX-1219"	"7"	"SMARCC2"	"1.19872188843577"
"CPX-1219"	"9"	"SMARCE1"	"1.80575171014992"
"CPX-1222"	"3"	"SMARCA4"	"0"
"CPX-1222"	"14"	"CPX-1222"	"0"
"CPX-1222"	"10"	"SMARCC1"	"0.0049809521798565"
"CPX-1222"	"2"	"ACTL6A"	"0.0486477728198901"
"CPX-1222"	"1"	"ARID1A"	"0.0519360069670427"
"CPX-1222"	"5"	"PS1TP5BP1"	"0.131960870548868"
"CPX-1222"	"4"	"ACTB"	"0.131960870548868"
"CPX-1222"	"13"	"SMARCD1"	"0.151110772792929"
"CPX-1222"	"9"	"DPF3"	"0.332123892705192"
"CPX-1222"	"11"	"SMARCD2"	"0.669288937332026"
"CPX-1222"	"8"	"SMARCC2"	"0.800578713685659"
"CPX-1222"	"12"	"SMARCE1"	"0.933402376808073"
