Complex	Index	Subunit	zScore-dis
CPX-680	4	RBM8A	4.830458915
CPX-680	3	RBM8	4.830458915
CPX-688	3	BPTF	0
CPX-688	1	SMARCA1	1.236310907
CPX-688	4	RBBP7	4.238142874
CPX-688	2	RBBP4	5.206992601
CPX-69	1	DDIT3	1.732050808
CPX-69	2	CEBPA	4.582575695
CPX-696	1	PRMT5	0
CPX-696	3	WDR77	4.091225838
CPX-696	2	CLNS1A	5.069585495
CPX-70	2	DDIT3	3.464101615
CPX-70	1	CEBPB	3.464101615
CPX-702	1	PPARG	1.732050808
CPX-702	2	NCOA2	4.582575695
CPX-709	4	ING3	0
CPX-709	2	HTATIP	2.98142397
CPX-709	1	KAT5	2.98142397
CPX-709	3	EPC1	5.163977795
CPX-711	1	PPARG	2.828427125
CPX-711	2	NCOA1	4
CPX-715	2	BARD1	NA
CPX-715	3	CPX-715	NA
CPX-716	1	RXRB	1.732050808
CPX-716	2	NR1H3	4.582575695
CPX-727	2	ING5	1.333444094
CPX-727	4	MEAF6	2.565978972
CPX-727	1	BRPF1	3.569753915
CPX-727	3	KAT6A	5.565599097
CPX-733	2	ING5	1.344585666
CPX-733	4	MEAF6	2.667799009
CPX-733	1	BRD1	3.669153718
CPX-733	3	KAT6A	5.786406787
CPX-736	1	ING5	1.262525787
CPX-736	3	MEAF6	2.629652899
CPX-736	4	BRPF3	3.034756892
CPX-736	2	KAT6A	6.0088451
CPX-745	5	CPX-745	0
CPX-745	4	AYP1	4
CPX-745	3	RNASEH2C	4
CPX-745	1	RNASEH2A	4
CPX-757	1	SMARCA5	0
CPX-757	2	BAZ1B	4.898979486
CPX-77	3	CPX-77	0
CPX-77	1	MSH3	4.898979486
CPX-785	1	SMARCA5	0.407550944
CPX-785	4	BAZ1A	0.698695643
CPX-785	3	CHRAC1	3.054908288
CPX-785	2	POLE3	6.08750605
CPX-787	3	GINS3	2.592771146
CPX-787	2	GINS4	2.704749458
CPX-787	1	GINS1	3.257191839
CPX-787	4	GINS2	4.613682582
CPX-79	1	GTF2F2	2.618614683
CPX-79	2	GTF2F1	4.140393356
CPX-8	1	CREB1	0
CPX-8	2	ATF4	4.898979486
CPX-80	1	MSH2	0
CPX-80	2	MSH6	4.898979486
CPX-815	1	MSL1	1.294536116
CPX-815	2	MSL3	1.329612495
CPX-815	4	MSL2	2.040310301
CPX-815	3	KAT8	6.606015057
CPX-85	1	MAD2L1	2.449489743
CPX-85	2	MAD1L1	4.242640687
CPX-871	3	RXRB	3.577708764
CPX-871	2	VDR	3.794733192
CPX-871	1	NR1i1	3.794733192
CPX-880	13	CPX-880	0
CPX-880	10	HDAC2	0.004650511
CPX-880	11	MTA3	0.101962209
CPX-880	1	MTA2	0.131298712
CPX-880	3	CHD3	0.459257122
CPX-880	2	RBBP4	1.459179465
CPX-880	4	MTA1	1.756225042
CPX-880	9	GATAD2B	2.172685475
CPX-880	7	RBBP7	3.54893243
CPX-880	12	MBD2	3.870375216
CPX-880	5	HDAC1	4.384312637
CPX-880	8	GATAD2A	8.608756437
CPX-888	2	KRT5	NA
CPX-888	3	CPX-888	NA
CPX-9	1	ATF1	0
CPX-9	2	ATF4	4.898979486
CPX-91	2	MAX	2.449489743
CPX-91	1	MYC	4.242640687
CPX-922	13	CPX-922	0
CPX-922	11	HDAC2	0.004643566
CPX-922	12	MTA3	0.101955037
CPX-922	1	MTA2	0.108422664
CPX-922	4	CHD3	0.46152787
CPX-922	3	RBBP4	1.440373573
CPX-922	5	MTA1	1.607796763
CPX-922	10	GATAD2B	2.183094409
CPX-922	8	RBBP7	3.597476049
CPX-922	2	MBD3	4.211413254
CPX-922	6	HDAC1	4.429220076
CPX-922	9	GATAD2A	8.341330653
CPX-955	7	CPX-955	0
CPX-955	4	RAD51	0
CPX-955	1	BRCA1	0
CPX-955	2	BRCC3	0.043251318
CPX-955	3	BRCA2	0.092805772
CPX-955	6	BABAM2	7.494044918
CPX-974	10	CPX-974	0
CPX-974	3	ACTL6A	0.03450028
CPX-974	8	RUVBL2	0.05531705
CPX-974	5	SRCAP	0.102318315
CPX-974	2	YEATS4	0.125719677
CPX-974	9	RUVBL1	0.467327605
CPX-974	4	VPS72	0.829577396
CPX-974	7	DMAP1	1.344365995
CPX-974	1	ZNHIT1	9.060207815
CPX-978	17	ING3	0
CPX-978	22	CPX-978	0
CPX-978	13	EPC1	4.06E-05
CPX-978	10	HTATIP	0.000176057
CPX-978	9	KAT5	0.000176057
CPX-978	2	ACTL6A	0.000848723
CPX-978	5	MBTD1	0.001020145
CPX-978	16	MRGBP	0.001536643
CPX-978	19	RUVBL2	0.001601693
CPX-978	11	EP400	0.001837098
CPX-978	21	TRRAP	0.002193677
CPX-978	14	MEAF6	0.003179725
CPX-978	18	MORF4L1	0.00429326
CPX-978	1	YEATS4	0.005375717
CPX-978	20	RUVBL1	0.009935441
CPX-978	7	VPS72	0.016012983
CPX-978	8	EPC2	0.017092277
CPX-978	15	DMAP1	0.028208338
CPX-978	6	MORF4L2	0.162584737
CPX-978	4	PS1TP5BP1	9.623162675
CPX-978	3	ACTB	9.623162675
CPX-979	3	NCAPH	0
CPX-979	6	SMC4	0
CPX-979	5	NCAPG	3.504957302
CPX-979	2	SMC2L1	4.277292068
CPX-979	1	SMC2	4.277292068
CPX-979	4	NCAPD2	4.609051667
CPX-98	1	CSTA	0
CPX-98	2	CTSB	4.898979486
CPX-985	6	SMC4	0
CPX-985	4	NCAPH2	0.415085815
CPX-985	5	NCAPG2	2.733769591
CPX-985	2	SMC2L1	4.148102102
CPX-985	1	SMC2	4.148102102
CPX-985	3	NCAPD3	5.231540207
CPX-99	5	CPX-99	0
CPX-99	1	AXIN1	2.205648431
CPX-99	3	CSNK1A1	3.305443744
CPX-99	4	GSK3B	6.026228424
