Complex	Index	Subunit	zScore-dis
CPX-1736	3	COL6A3	0
CPX-1736	1	COL6A1	2.572551522
CPX-1736	2	COL6A2	5.68698938
CPX-1737	1	COL7A1	4
CPX-1747	1	COL8A2	4
CPX-175	3	E2F2	0
CPX-175	1	RB1	2.925238761
CPX-175	2	TFDP1	5.747674605
CPX-1751	3	CPX-1751	0
CPX-1751	1	COL5A2	4.898979486
CPX-1752	3	COL5A1	0
CPX-1752	4	CPX-1752	0
CPX-1752	1	COL5A2	5.656854249
CPX-1753	2	CPX-1753	NA
CPX-1754	2	CPX-1754	NA
CPX-1755	2	CPX-1755	NA
CPX-1756	2	CPX-1756	NA
CPX-1757	1	COL16A1	4
CPX-1759	1	COL18A1	4
CPX-1760	2	CPX-1760	NA
CPX-1761	2	CPX-1761	NA
CPX-1762	2	CPX-1762	NA
CPX-1763	2	CPX-1763	NA
CPX-1764	2	CPX-1764	NA
CPX-1765	1	COL24A1	4
CPX-1767	2	CPX-1767	NA
CPX-1768	1	COL27A1	4
CPX-1769	2	CPX-1769	NA
CPX-1770	3	LAMA1	0
CPX-1770	1	LAMB1	4.69570681
CPX-1770	2	LAMC1	4.751911687
CPX-1771	3	LAMA2	3.011570402
CPX-1771	2	LAMC1	4.001426097
CPX-1771	1	LAMB1	4.279403515
CPX-1772	4	CPX-1772	0
CPX-1772	1	LAMC1	1.424072924
CPX-1772	3	LAMB2	5.92918764
CPX-1773	2	LAMA2	0.326237581
CPX-1773	1	LAMC1	0.827935608
CPX-1773	3	LAMB2	5.856236563
CPX-1777	2	LAMC1	3.498873231
CPX-1777	3	LAMA4	3.510737394
CPX-1777	1	LAMB1	3.904904275
CPX-1778	1	LAMC1	1.302088416
CPX-1778	3	LAMA4	2.892064165
CPX-1778	2	LAMB2	5.572815434
CPX-1779	3	LAMC1	3.191836731
CPX-1779	2	LAMB1	3.343458931
CPX-1779	1	LAMA5	4.283701737
CPX-1780	2	LAMC1	0.365391949
CPX-1780	1	LAMA5	0.485506133
CPX-1780	3	LAMB2	5.803012417
CPX-1781	4	CPX-1781	0
CPX-1781	2	LAMA2	3.673490358
CPX-1781	1	LAMB1	5.339495828
CPX-1782	4	CPX-1782	0
CPX-1782	2	LAMA4	2.917144648
CPX-1782	1	LAMB2	5.396288842
CPX-1783	3	LAMC2	0
CPX-1783	1	LAMA5	1.380650123
CPX-1783	2	LAMB2	5.908541606
CPX-1784	3	LAMC3	0
CPX-1784	1	LAMA5	1.583366085
CPX-1784	2	LAMB2	5.924425624
CPX-1785	1	THBS1	4
CPX-1788	1	THBS2	4
CPX-1789	1	THBS3	4
CPX-1790	1	THBS4	4
CPX-1791	2	CPX-1791	NA
CPX-1794	2	ITGA5	3
CPX-1794	1	ITGB1	3.872983346
CPX-1795	2	ITGAV	3.464101615
CPX-1795	1	ITGB3	3.464101615
CPX-1796	1	ITGAV	0
CPX-1796	2	ITGB5	4.898979486
CPX-1797	2	ITGA3	3.464101615
CPX-1797	1	ITGB1	3.464101615
CPX-1798	3	CPX-1798	0
CPX-1798	1	ITGB1	4.898979486
CPX-1799	3	CPX-1799	0
CPX-1799	1	ITGB3	4.898979486
CPX-1801	3	CPX-1801	0
CPX-1801	1	ITGB1	4.898979486
CPX-1802	3	CPX-1802	0
CPX-1802	1	ITGB1	4.898979486
CPX-1803	3	CPX-1803	0
CPX-1803	1	ITGB1	4.898979486
CPX-1804	3	CPX-1804	0
CPX-1804	1	ITGB1	4.898979486
CPX-1815	3	CPX-1815	0
CPX-1815	1	ITGB1	4.898979486
CPX-1816	3	CPX-1816	0
CPX-1816	1	ITGB1	4.898979486
CPX-1817	1	ITGA10	0
CPX-1817	2	ITGB1	4.898979486
CPX-1818	3	CPX-1818	0
CPX-1818	1	ITGB1	4.898979486
CPX-1819	3	CPX-1819	0
CPX-1819	1	ITGB1	4.898979486
CPX-1820	3	CPX-1820	0
CPX-1820	1	ITGAV	4.898979486
CPX-1821	3	CPX-1821	0
CPX-1821	1	ITGAV	4.898979486
CPX-1822	1	ITGB4	0
CPX-1822	2	ITGA6	4.898979486
CPX-1823	1	ITGA4	3.098386677
CPX-1823	2	ITGB7	3.794733192
CPX-1824	1	ITGB7	3.207134903
CPX-1824	2	ITGAE	3.703280399
CPX-1825	2	ITGAL	2.618614683
CPX-1825	1	ITGB2	4.140393356
CPX-1826	3	CPX-1826	0
CPX-1826	1	ITGB2	4.898979486
CPX-1827	2	ITGAX	3
CPX-1827	1	ITGB2	3.872983346
CPX-1828	3	CPX-1828	0
CPX-1828	1	ITGB2	4.898979486
CPX-1829	3	RAD9A	0
CPX-1829	1	RAD1	0.660618193
CPX-1829	2	HUS1	5.733201362
CPX-1842	3	CPX-1842	0
CPX-1842	1	PPP4C	4.898979486
CPX-1843	3	PPP4R3A	0
CPX-1843	5	CPX-1843	0
CPX-1843	4	PPP4R2	4.033977659
CPX-1843	1	PPP4C	5.404813605
CPX-1844	2	PPP4R3B	0.023814541
CPX-1844	3	PPP4R2	3.725487821
CPX-1844	1	PPP4C	4.920566804
CPX-1845	2	PPP4R4	1.732050808
CPX-1845	1	PPP4C	4.582575695
CPX-1847	10	CPX-1847	0
CPX-1847	7	HAUS4	0.265667456
CPX-1847	4	HAUS1	0.541695587
CPX-1847	9	CEP27	3.182577893
CPX-1847	8	HAUS2	3.182577893
CPX-1847	1	HAUS5	3.314822168
CPX-1847	5	HAUS7	3.340498458
CPX-1847	2	HAUS3	3.420285314
CPX-1847	3	HAUS6	6.729422088
CPX-1874	1	PDGFA	4
CPX-1875	1	PDGFB	3
CPX-1875	2	PDGFA	3.872983346
CPX-1876	1	PDGFB	4
CPX-1880	8	ORC6L	0.165407827
